nct_id,ethnicity,part_cnt,part_pct,ethnic_group
NCT04399980,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04399980,asian,0,0,Asian
NCT04399980,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04399980,black or african american,16,0.4,Black or African-American
NCT04399980,white,19,0.475,White
NCT04399980,more than one race,0,0,Two or More Races
NCT04399980,unknown or not reported,5,0.125,Not Reported
NCT04348500,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04348500,asian,2,0.125,Asian
NCT04348500,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04348500,black or african american,2,0.125,Black or African-American
NCT04348500,white,12,0.75,White
NCT04348500,more than one race,0,0,Two or More Races
NCT04348500,unknown or not reported,0,0,Not Reported
NCT04363736,american indian or alaska native,3,0.030927835051546393,American Indian or Alaska Native
NCT04363736,asian,4,0.041237113402061855,Asian
NCT04363736,native hawaiian or other pacific islander,1,0.010309278350515464,Native Hawaiian or Other Pacific Islander
NCT04363736,black or african american,33,0.3402061855670103,Black or African-American
NCT04363736,white,38,0.3917525773195876,White
NCT04363736,more than one race,1,0.010309278350515464,Two or More Races
NCT04363736,unknown or not reported,17,0.17525773195876287,Not Reported
NCT04332081,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04332081,asian,7,0.0875,Asian
NCT04332081,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04332081,black or african american,13,0.1625,Black or African-American
NCT04332081,white,23,0.2875,White
NCT04332081,more than one race,0,0,Two or More Races
NCT04332081,unknown or not reported,37,0.4625,Not Reported
NCT04432272,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04432272,asian,0,0,Asian
NCT04432272,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04432272,black or african american,4,0.07407407407407407,Black or African-American
NCT04432272,white,44,0.8148148148148148,White
NCT04432272,more than one race,0,0,Two or More Races
NCT04432272,unknown or not reported,6,0.1111111111111111,Not Reported
NCT04421404,american indian or alaska native,1,0.029411764705882353,American Indian or Alaska Native
NCT04421404,asian,4,0.11764705882352941,Asian
NCT04421404,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04421404,black or african american,2,0.058823529411764705,Black or African-American
NCT04421404,white,8,0.23529411764705882,White
NCT04421404,more than one race,0,0,Two or More Races
NCT04421404,unknown or not reported,19,0.5588235294117647,Not Reported
NCT04524507,american indian or alaska native,1,0.017857142857142856,American Indian or Alaska Native
NCT04524507,asian,0,0,Asian
NCT04524507,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04524507,black or african american,14,0.25,Black or African-American
NCT04524507,white,23,0.4107142857142857,White
NCT04524507,more than one race,0,0,Two or More Races
NCT04524507,unknown or not reported,18,0.32142857142857145,Not Reported
NCT04354870,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04354870,asian,10,0.20408163265306123,Asian
NCT04354870,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04354870,black or african american,0,0,Black or African-American
NCT04354870,white,36,0.7346938775510204,White
NCT04354870,more than one race,0,0,Two or More Races
NCT04354870,unknown or not reported,3,0.061224489795918366,Not Reported
NCT04411628,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04411628,asian,1,0.041666666666666664,Asian
NCT04411628,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04411628,black or african american,2,0.08333333333333333,Black or African-American
NCT04411628,white,19,0.7916666666666666,White
NCT04411628,more than one race,0,0,Two or More Races
NCT04411628,unknown or not reported,2,0.08333333333333333,Not Reported
NCT04315298,american indian or alaska native,6,0.0032240730789897904,American Indian or Alaska Native
NCT04315298,asian,113,0.060720042987641054,Asian
NCT04315298,native hawaiian or other pacific islander,6,0.0032240730789897904,Native Hawaiian or Other Pacific Islander
NCT04315298,black or african american,350,0.18807092960773777,Black or African-American
NCT04315298,white,677,0.36378291241268135,White
NCT04315298,more than one race,0,0,Two or More Races
NCT04315298,unknown or not reported,709,0.38097796883396023,Not Reported
NCT04335552,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04335552,asian,0,0,Asian
NCT04335552,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04335552,black or african american,3,0.2727272727272727,Black or African-American
NCT04335552,white,7,0.6363636363636364,White
NCT04335552,more than one race,1,0.09090909090909091,Two or More Races
NCT04335552,unknown or not reported,0,0,Not Reported
NCT04351243,american indian or alaska native,2,0.008888888888888889,American Indian or Alaska Native
NCT04351243,asian,11,0.04888888888888889,Asian
NCT04351243,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04351243,black or african american,45,0.2,Black or African-American
NCT04351243,white,113,0.5022222222222222,White
NCT04351243,more than one race,1,0.0044444444444444444,Two or More Races
NCT04351243,unknown or not reported,53,0.23555555555555555,Not Reported
NCT04431908,american indian or alaska native,0,,American Indian or Alaska Native
NCT04431908,asian,0,,Asian
NCT04431908,native hawaiian or other pacific islander,0,,Native Hawaiian or Other Pacific Islander
NCT04431908,black or african american,0,,Black or African-American
NCT04431908,white,0,,White
NCT04431908,more than one race,0,,Two or More Races
NCT04431908,unknown or not reported,0,,Not Reported
NCT04342663,american indian or alaska native,1,0.006578947368421052,American Indian or Alaska Native
NCT04342663,asian,4,0.02631578947368421,Asian
NCT04342663,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04342663,black or african american,38,0.25,Black or African-American
NCT04342663,white,106,0.6973684210526315,White
NCT04342663,more than one race,0,0,Two or More Races
NCT04342663,unknown or not reported,3,0.019736842105263157,Not Reported
NCT04435184,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04435184,asian,1,0.023809523809523808,Asian
NCT04435184,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04435184,black or african american,20,0.47619047619047616,Black or African-American
NCT04435184,white,21,0.5,White
NCT04435184,more than one race,0,0,Two or More Races
NCT04435184,unknown or not reported,0,0,Not Reported
NCT04912700,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04912700,asian,0,0,Asian
NCT04912700,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04912700,black or african american,3663,0.3095318573601487,Black or African-American
NCT04912700,white,7134,0.6028392766604699,White
NCT04912700,more than one race,0,0,Two or More Races
NCT04912700,unknown or not reported,1037,0.08762886597938144,Not Reported
NCT04329923,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04329923,asian,14,0.08092485549132948,Asian
NCT04329923,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04329923,black or african american,29,0.1676300578034682,Black or African-American
NCT04329923,white,121,0.6994219653179191,White
NCT04329923,more than one race,3,0.017341040462427744,Two or More Races
NCT04329923,unknown or not reported,6,0.03468208092485549,Not Reported
NCT04401293,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04401293,asian,25,0.09881422924901186,Asian
NCT04401293,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04401293,black or african american,70,0.2766798418972332,Black or African-American
NCT04401293,white,102,0.4031620553359684,White
NCT04401293,more than one race,0,0,Two or More Races
NCT04401293,unknown or not reported,56,0.22134387351778656,Not Reported
NCT04317040,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04317040,asian,4,0.017094017094017096,Asian
NCT04317040,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04317040,black or african american,50,0.21367521367521367,Black or African-American
NCT04317040,white,111,0.47435897435897434,White
NCT04317040,more than one race,2,0.008547008547008548,Two or More Races
NCT04317040,unknown or not reported,67,0.2863247863247863,Not Reported
NCT04732819,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04732819,asian,0,0,Asian
NCT04732819,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04732819,black or african american,1973,0.08301077078424773,Black or African-American
NCT04732819,white,5015,0.21099798047795354,White
NCT04732819,more than one race,0,0,Two or More Races
NCT04732819,unknown or not reported,16780,0.7059912487377987,Not Reported
NCT04365699,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04365699,asian,0,0,Asian
NCT04365699,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04365699,black or african american,0,0,Black or African-American
NCT04365699,white,0,0,White
NCT04365699,more than one race,0,0,Two or More Races
NCT04365699,unknown or not reported,81,1,Not Reported
NCT04342897,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04342897,asian,4,0.042105263157894736,Asian
NCT04342897,native hawaiian or other pacific islander,1,0.010526315789473684,Native Hawaiian or Other Pacific Islander
NCT04342897,black or african american,15,0.15789473684210525,Black or African-American
NCT04342897,white,74,0.7789473684210526,White
NCT04342897,more than one race,1,0.010526315789473684,Two or More Races
NCT04342897,unknown or not reported,0,0,Not Reported
NCT04334148,american indian or alaska native,3,0.002207505518763797,American Indian or Alaska Native
NCT04334148,asian,55,0.04047093451066961,Asian
NCT04334148,native hawaiian or other pacific islander,2,0.0014716703458425313,Native Hawaiian or Other Pacific Islander
NCT04334148,black or african american,41,0.03016924208977189,Black or African-American
NCT04334148,white,1234,0.9080206033848418,White
NCT04334148,more than one race,15,0.011037527593818985,Two or More Races
NCT04334148,unknown or not reported,9,0.006622516556291391,Not Reported
NCT04355728,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04355728,asian,0,0,Asian
NCT04355728,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04355728,black or african american,3,0.125,Black or African-American
NCT04355728,white,21,0.875,White
NCT04355728,more than one race,0,0,Two or More Races
NCT04355728,unknown or not reported,0,0,Not Reported
NCT04381988,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04381988,asian,0,0,Asian
NCT04381988,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04381988,black or african american,0,0,Black or African-American
NCT04381988,white,4,1,White
NCT04381988,more than one race,0,0,Two or More Races
NCT04381988,unknown or not reported,0,0,Not Reported
NCT04463004,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04463004,asian,0,0,Asian
NCT04463004,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04463004,black or african american,1,0.5,Black or African-American
NCT04463004,white,1,0.5,White
NCT04463004,more than one race,0,0,Two or More Races
NCT04463004,unknown or not reported,0,0,Not Reported
NCT04372017,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04372017,asian,0,0,Asian
NCT04372017,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04372017,black or african american,0,0,Black or African-American
NCT04372017,white,0,0,White
NCT04372017,more than one race,0,0,Two or More Races
NCT04372017,unknown or not reported,1,1,Not Reported
NCT04502056,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04502056,asian,0,0,Asian
NCT04502056,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04502056,black or african american,7879,0.4454180564192436,Black or African-American
NCT04502056,white,9810,0.5545819435807564,White
NCT04502056,more than one race,0,0,Two or More Races
NCT04502056,unknown or not reported,0,0,Not Reported
NCT04338074,american indian or alaska native,0,0,American Indian or Alaska Native
NCT04338074,asian,0,0,Asian
NCT04338074,native hawaiian or other pacific islander,0,0,Native Hawaiian or Other Pacific Islander
NCT04338074,black or african american,1,0.2,Black or African-American
NCT04338074,white,4,0.8,White
NCT04338074,more than one race,0,0,Two or More Races
NCT04338074,unknown or not reported,0,0,Not Reported
