Week,Popularity
2016-12-18,34
2016-12-25,25
2017-01-01,49
2017-01-08,52
2017-01-15,54
2017-01-22,58
2017-01-29,64
2017-02-05,58
2017-02-12,60
2017-02-19,63
2017-02-26,67
2017-03-05,65
2017-03-12,57
2017-03-19,62
2017-03-26,62
2017-04-02,61
2017-04-09,52
2017-04-16,60
2017-04-23,62
2017-04-30,86
2017-05-07,63
2017-05-14,56
2017-05-21,52
2017-05-28,50
2017-06-04,60
2017-06-11,63
2017-06-18,45
2017-06-25,44
2017-07-02,38
2017-07-09,41
2017-07-16,45
2017-07-23,64
2017-07-30,50
2017-08-06,63
2017-08-13,50
2017-08-20,47
2017-08-27,51
2017-09-03,53
2017-09-10,61
2017-09-17,62
2017-09-24,62
2017-10-01,71
2017-10-08,72
2017-10-15,72
2017-10-22,65
2017-10-29,93
2017-11-05,66
2017-11-12,67
2017-11-19,54
2017-11-26,58
2017-12-03,56
2017-12-10,54
2017-12-17,43
2017-12-24,26
2017-12-31,37
2018-01-07,49
2018-01-14,54
2018-01-21,54
2018-01-28,59
2018-02-04,58
2018-02-11,58
2018-02-18,56
2018-02-25,61
2018-03-04,61
2018-03-11,59
2018-03-18,57
2018-03-25,55
2018-04-01,54
2018-04-08,60
2018-04-15,62
2018-04-22,62
2018-04-29,62
2018-05-06,56
2018-05-13,69
2018-05-20,59
2018-05-27,56
2018-06-03,56
2018-06-10,49
2018-06-17,42
2018-06-24,47
2018-07-01,40
2018-07-08,43
2018-07-15,44
2018-07-22,43
2018-07-29,45
2018-08-05,47
2018-08-12,50
2018-08-19,51
2018-08-26,56
2018-09-02,63
2018-09-09,68
2018-09-16,63
2018-09-23,63
2018-09-30,70
2018-10-07,65
2018-10-14,69
2018-10-21,67
2018-10-28,70
2018-11-04,67
2018-11-11,66
2018-11-18,52
2018-11-25,65
2018-12-02,63
2018-12-09,61
2018-12-16,46
2018-12-23,26
2018-12-30,37
2019-01-06,51
2019-01-13,58
2019-01-20,53
2019-01-27,58
2019-02-03,61
2019-02-10,63
2019-02-17,61
2019-02-24,65
2019-03-03,64
2019-03-10,58
2019-03-17,63
2019-03-24,60
2019-03-31,61
2019-04-07,60
2019-04-14,51
2019-04-21,61
2019-04-28,59
2019-05-05,88
2019-05-12,61
2019-05-19,55
2019-05-26,49
2019-06-02,66
2019-06-09,50
2019-06-16,48
2019-06-23,49
2019-06-30,47
2019-07-07,43
2019-07-14,45
2019-07-21,44
2019-07-28,44
2019-08-04,43
2019-08-11,50
2019-08-18,51
2019-08-25,53
2019-09-01,57
2019-09-08,63
2019-09-15,64
2019-09-22,67
2019-09-29,71
2019-10-06,69
2019-10-13,70
2019-10-20,68
2019-10-27,62
2019-11-03,73
2019-11-10,62
2019-11-17,65
2019-11-24,50
2019-12-01,60
2019-12-08,57
2019-12-15,46
2019-12-22,27
2019-12-29,33
2020-01-05,51
2020-01-12,58
2020-01-19,59
2020-01-26,61
2020-02-02,65
2020-02-09,61
2020-02-16,61
2020-02-23,63
2020-03-01,67
2020-03-08,59
2020-03-15,37
2020-03-22,41
2020-03-29,45
2020-04-05,45
2020-04-12,49
2020-04-19,51
2020-04-26,53
2020-05-03,54
2020-05-10,53
2020-05-17,56
2020-05-24,49
2020-05-31,81
2020-06-07,79
2020-06-14,73
2020-06-21,64
2020-06-28,57
2020-07-05,62
2020-07-12,58
2020-07-19,59
2020-07-26,56
2020-08-02,59
2020-08-09,62
2020-08-16,63
2020-08-23,63
2020-08-30,71
2020-09-06,100
2020-09-13,98
2020-09-20,88
2020-09-27,74
2020-10-04,80
2020-10-11,70
2020-10-18,66
2020-10-25,72
2020-11-01,61
2020-11-08,71
2020-11-15,64
2020-11-22,54
2020-11-29,60
2020-12-06,63
2020-12-13,56
2020-12-20,33
2020-12-27,32
2021-01-03,48
2021-01-10,55
2021-01-17,61
2021-01-24,60
2021-01-31,65
2021-02-07,57
2021-02-14,63
2021-02-21,68
2021-02-28,61
2021-03-07,64
2021-03-14,63
2021-03-21,62
2021-03-28,57
2021-04-04,56
2021-04-11,65
2021-04-18,68
2021-04-25,64
2021-05-02,68
2021-05-09,67
2021-05-16,67
2021-05-23,60
2021-05-30,60
2021-06-06,62
2021-06-13,56
2021-06-20,54
2021-06-27,50
2021-07-04,49
2021-07-11,53
2021-07-18,50
2021-07-25,54
2021-08-01,47
2021-08-08,52
2021-08-15,53
2021-08-22,59
2021-08-29,57
2021-09-05,63
2021-09-12,64
2021-09-19,70
2021-09-26,73
2021-10-03,70
2021-10-10,61
2021-10-17,63
2021-10-24,58
2021-10-31,57
2021-11-07,59
2021-11-14,56
2021-11-21,43
2021-11-28,53
2021-12-05,51
2021-12-12,33
